Year,Album,Artist,Albums sold,Classification
2004,Scissor Sisters,Scissor Sisters,1594259,Platinum
2005,Back to Bedlam,James Blunt,2367758,Double Platinum
2006,Eyes Open,Snow Patrol,1514554,Platinum
2007,Back to Black,Amy Winehouse,1883899,Platinum
2008,Rockferry,Duffy,1685000,Platinum
2009,I Dreamed a Dream,Susan Boyle,1632732,Platinum
2010,Progress,Take That,1841148,Platinum
2011,21,Adele,3772346,Triple Platinum
2012,Our Version of Events,Emeli Sande,1393000,Platinum
2013,Midnight Memories,One Direction,685000,Gold
2014,x,Ed Sheeran,1689000,Platinum
2015,25,Adele,2496000,Double Platinum
2016,25,Adele,753000,Gold
2017,÷,Ed Sheeran,2700000,Double Platinum
2018,The Greatest Showman: Original Motion Picture Soundtrack,Original soundtrack,1600000,Platinum
2019,Divinely Uninspired to a Hellish Extent,Lewis Capaldi,641000,Gold
2020,Divinely Uninspired to a Hellish Extent,Lewis Capaldi,456000,Not Classified
2021,30,Adele,600000,Gold
2022,Harry's House,Harry Styles,460000,Not Classified
2023,The Highlights,The Weeknd,391000,Not Classified
2024,The Tortured Poets Department,Taylor Swift,783800,Gold

Best Selling Album
Year,Album,Artist,Albums sold
2011,21,Adele,3772346

Top 3 Artists by Total Sales
Artist,Total Sales
Adele,7621346
Ed Sheeran,4389000
James Blunt,2367758

Worst Selling Album
Year,Album,Artist,Albums sold
2023,The Highlights,The Weeknd,391000
